FECHA;HORA;TEMPERATURA DEL AIRE (°C);HUMEDAD RELATIVA (%);DIRECCIÓN DEL VIENTO (°);VELOCIDAD DEL VIENTO (m/s)
;;;;;
1/01/2012;00:00:00;22.1;72.0;147;0.1
1/01/2012;01:00:00;22.1;72.0;318;0.1
1/01/2012;02:00:00;21.7;74.0;230;0.3
1/01/2012;03:00:00;21.4;76.0;301;0.1
1/01/2012;04:00:00;21.2;78.0;237;0.4
1/01/2012;05:00:00;20.4;84.0;329;0.2
1/01/2012;06:00:00;21.0;80.0;217;0.0
1/01/2012;07:00:00;22.2;75.0;235;0.1
1/01/2012;08:00:00;23.1;71.0;292;0.3
1/01/2012;09:00:00;23.9;70.0;225;1.2
1/01/2012;10:00:00;24.1;68.0;227;1.7
1/01/2012;11:00:00;24.6;65.0;225;2.1
1/01/2012;12:00:00;S/D;S/D;S/D;S/D
1/01/2012;13:00:00;25.3;63.0;223;2.4
1/01/2012;14:00:00;25.7;63.0;230;2.7
1/01/2012;15:00:00;25.1;64.0;227;2.9
1/01/2012;16:00:00;25.6;62.0;230;2.3
1/01/2012;17:00:00;26.3;57.0;228;1.7
1/01/2012;18:00:00;23.9;67.0;225;1.9
1/01/2012;19:00:00;22.2;74.0;226;1.7
1/01/2012;20:00:00;22.4;74.0;236;1.2
1/01/2012;21:00:00;22.3;74.0;70;0.8
1/01/2012;22:00:00;21.7;79.0;228;1.3
1/01/2012;23:00:00;21.5;80.0;300;0.5
2/01/2012;00:00:00;21.5;81.0;247;0.4
2/01/2012;01:00:00;21.3;83.0;58;0.1
2/01/2012;02:00:00;20.4;87.0;230;0.3
2/01/2012;03:00:00;20.1;89.0;233;0.5
2/01/2012;04:00:00;19.8;89.0;225;0.1
2/01/2012;05:00:00;20.0;89.0;359;0.0
2/01/2012;06:00:00;20.2;87.0;249;0.1
2/01/2012;07:00:00;19.9;89.0;224;0.3
2/01/2012;08:00:00;20.6;85.0;231;0.0
2/01/2012;09:00:00;23.2;73.0;232;0.7
2/01/2012;10:00:00;23.3;73.0;223;1.4
2/01/2012;11:00:00;24.2;68.0;228;1.5
