FECHA;CO
1/01/2015 00:00;266.70
1/01/2015 01:00;211.30
1/01/2015 02:00;209.60
1/01/2015 03:00;188.30
1/01/2015 04:00;155.40
1/01/2015 05:00;188.30
1/01/2015 06:00;318.70
1/01/2015 07:00;380.50
1/01/2015 08:00;433.10
1/01/2015 09:00;285.70
1/01/2015 10:00;129.50
1/01/2015 11:00;97.60
1/01/2015 12:00;94.20
1/01/2015 13:00;118.70
1/01/2015 14:00;139.50
1/01/2015 15:00;148.00
1/01/2015 16:00;152.30
1/01/2015 17:00;161.60
1/01/2015 18:00;177.30
1/01/2015 19:00;275.50
1/01/2015 20:00;312.00
1/01/2015 21:00;348.80
1/01/2015 22:00;356.30
1/01/2015 23:00;283.50
2/01/2015 00:00;206.50
2/01/2015 01:00;130.80
2/01/2015 02:00;119.60
2/01/2015 03:00;88.80
2/01/2015 04:00;76.80
2/01/2015 05:00;97.30
2/01/2015 06:00;103.70
2/01/2015 07:00;161.10
2/01/2015 08:00;254.00
2/01/2015 09:00;266.70
2/01/2015 10:00;262.10
2/01/2015 11:00;187.00
2/01/2015 12:00;146.00
2/01/2015 13:00;144.40
2/01/2015 14:00;139.80
2/01/2015 15:00;133.50
2/01/2015 16:00;128.10
2/01/2015 17:00;162.50
2/01/2015 18:00;220.70
2/01/2015 19:00;241.60
2/01/2015 20:00;356.00
2/01/2015 21:00;368.70
2/01/2015 22:00;353.30
2/01/2015 23:00;307.40
3/01/2015 00:00;247.50
3/01/2015 01:00;216.00
3/01/2015 02:00;198.90
3/01/2015 03:00;168.20
3/01/2015 04:00;148.80
3/01/2015 05:00;131.60
3/01/2015 06:00;167.10
3/01/2015 07:00;145.70
3/01/2015 08:00;341.30
3/01/2015 09:00;377.30
3/01/2015 10:00;265.80
3/01/2015 11:00;205.40
3/01/2015 12:00;234.30
3/01/2015 13:00;191.90
3/01/2015 14:00;155.20
3/01/2015 15:00;156.90
3/01/2015 16:00;141.70
3/01/2015 17:00;160.30
3/01/2015 18:00;239.70
3/01/2015 19:00;245.20
3/01/2015 20:00;272.70
3/01/2015 21:00;314.60
3/01/2015 22:00;399.20
3/01/2015 23:00;336.80
4/01/2015 00:00;247.70
4/01/2015 01:00;202.50
4/01/2015 02:00;142.00
4/01/2015 03:00;146.60
4/01/2015 04:00;116.50
4/01/2015 05:00;75.00
4/01/2015 06:00;86.20
4/01/2015 07:00;111.10
4/01/2015 08:00;162.60
4/01/2015 09:00;144.00
