FECHA;O3
1/01/2012 00:00;3.40
1/01/2012 01:00;4.80
1/01/2012 02:00;4.60
1/01/2012 03:00;3.50
1/01/2012 04:00;3.80
1/01/2012 05:00;3.20
1/01/2012 06:00;2.80
1/01/2012 07:00;4.00
1/01/2012 08:00;8.70
1/01/2012 09:00;17.90
1/01/2012 10:00;26.20
1/01/2012 11:00;28.20
1/01/2012 12:00;33.80
1/01/2012 13:00;23.00
1/01/2012 14:00;23.60
1/01/2012 15:00;21.10
1/01/2012 16:00;20.40
1/01/2012 17:00;19.10
1/01/2012 18:00;12.30
1/01/2012 19:00;6.00
1/01/2012 20:00;3.40
1/01/2012 21:00;2.90
1/01/2012 22:00;3.30
1/01/2012 23:00;3.70
2/01/2012 00:00;3.00
2/01/2012 01:00;2.50
2/01/2012 02:00;4.00
2/01/2012 03:00;7.40
2/01/2012 04:00;9.60
2/01/2012 05:00;9.30
2/01/2012 06:00;9.70
2/01/2012 07:00;9.90
2/01/2012 08:00;7.10
2/01/2012 09:00;9.10
2/01/2012 10:00;13.60
2/01/2012 11:00;23.90
2/01/2012 12:00;32.40
2/01/2012 13:00;24.40
2/01/2012 14:00;19.10
2/01/2012 15:00;19.70
2/01/2012 16:00;17.30
2/01/2012 17:00;15.20
2/01/2012 18:00;9.60
2/01/2012 19:00;3.80
2/01/2012 20:00;3.20
2/01/2012 21:00;3.40
2/01/2012 22:00;3.50
2/01/2012 23:00;3.60
3/01/2012 00:00;4.60
3/01/2012 01:00;6.50
3/01/2012 02:00;5.50
3/01/2012 03:00;5.20
3/01/2012 04:00;7.50
3/01/2012 05:00;6.70
3/01/2012 06:00;4.00
3/01/2012 07:00;4.70
3/01/2012 08:00;6.00
3/01/2012 09:00;7.90
3/01/2012 10:00;14.50
3/01/2012 11:00;16.50
3/01/2012 12:00;17.90
3/01/2012 13:00;22.90
3/01/2012 14:00;21.40
3/01/2012 15:00;16.70
3/01/2012 16:00;13.90
3/01/2012 17:00;11.80
3/01/2012 18:00;9.20
3/01/2012 19:00;4.00
3/01/2012 20:00;3.30
3/01/2012 21:00;3.40
3/01/2012 22:00;3.30
3/01/2012 23:00;3.30
4/01/2012 00:00;3.10
4/01/2012 01:00;3.00
4/01/2012 02:00;5.10
4/01/2012 03:00;5.50
4/01/2012 04:00;8.00
4/01/2012 05:00;6.80
4/01/2012 06:00;5.00
4/01/2012 07:00;30.40
4/01/2012 08:00;49.30
4/01/2012 09:00;10.10
4/01/2012 10:00;15.50
4/01/2012 11:00;23.10
4/01/2012 12:00;19.40
4/01/2012 13:00;S/D
4/01/2012 14:00;S/D
4/01/2012 15:00;S/D
4/01/2012 16:00;S/D
4/01/2012 17:00;S/D
4/01/2012 18:00;S/D
4/01/2012 19:00;2.20
4/01/2012 20:00;1.70
4/01/2012 21:00;1.90
4/01/2012 22:00;2.20
4/01/2012 23:00;2.30
5/01/2012 00:00;2.50
5/01/2012 01:00;2.20
5/01/2012 02:00;2.60
5/01/2012 03:00;3.30
5/01/2012 04:00;5.40
5/01/2012 05:00;7.60
5/01/2012 06:00;5.40
5/01/2012 07:00;3.50
5/01/2012 08:00;3.40
5/01/2012 09:00;6.10
5/01/2012 10:00;13.80
5/01/2012 11:00;23.90
5/01/2012 12:00;32.80
5/01/2012 13:00;25.70
5/01/2012 14:00;19.50
5/01/2012 15:00;14.90
5/01/2012 16:00;16.10
5/01/2012 17:00;12.30
5/01/2012 18:00;8.30
5/01/2012 19:00;3.60
5/01/2012 20:00;7.70
5/01/2012 21:00;5.20
5/01/2012 22:00;3.70
5/01/2012 23:00;3.30
6/01/2012 00:00;2.60
6/01/2012 01:00;2.40
6/01/2012 02:00;2.50
6/01/2012 03:00;3.50
6/01/2012 04:00;4.10
6/01/2012 05:00;5.30
6/01/2012 06:00;3.50
6/01/2012 07:00;4.20
6/01/2012 08:00;5.50
6/01/2012 09:00;8.30
6/01/2012 10:00;10.80
6/01/2012 11:00;15.10
6/01/2012 12:00;16.70
6/01/2012 13:00;14.80
6/01/2012 14:00;15.00
6/01/2012 15:00;15.40
6/01/2012 16:00;13.70
6/01/2012 17:00;11.90
6/01/2012 18:00;4.60
6/01/2012 19:00;3.50
6/01/2012 20:00;2.80
6/01/2012 21:00;2.80
6/01/2012 22:00;3.00
6/01/2012 23:00;3.30
7/01/2012 00:00;3.00
7/01/2012 01:00;2.50
7/01/2012 02:00;3.90
7/01/2012 03:00;6.60
7/01/2012 04:00;2.90
7/01/2012 05:00;4.30
7/01/2012 06:00;6.30
7/01/2012 07:00;8.10
7/01/2012 08:00;7.70
7/01/2012 09:00;7.30
7/01/2012 10:00;9.10
7/01/2012 11:00;11.50
7/01/2012 12:00;14.90
7/01/2012 13:00;13.30
7/01/2012 14:00;16.20
7/01/2012 15:00;14.40
7/01/2012 16:00;12.40
7/01/2012 17:00;11.10
7/01/2012 18:00;9.70
7/01/2012 19:00;6.90
7/01/2012 20:00;5.90
7/01/2012 21:00;5.20
7/01/2012 22:00;3.00
7/01/2012 23:00;2.70
8/01/2012 00:00;2.50
8/01/2012 01:00;2.50
8/01/2012 02:00;3.50
8/01/2012 03:00;5.10
8/01/2012 04:00;4.30
8/01/2012 05:00;3.60
8/01/2012 06:00;2.90
8/01/2012 07:00;5.50
8/01/2012 08:00;11.40
8/01/2012 09:00;14.80
8/01/2012 10:00;23.00
8/01/2012 11:00;27.60
8/01/2012 12:00;35.30
8/01/2012 13:00;31.30
8/01/2012 14:00;17.30
8/01/2012 15:00;17.90
8/01/2012 16:00;15.70
8/01/2012 17:00;13.10
8/01/2012 18:00;10.50
8/01/2012 19:00;4.50
8/01/2012 20:00;4.00
8/01/2012 21:00;3.80
8/01/2012 22:00;3.60
8/01/2012 23:00;2.50
9/01/2012 00:00;2.60
9/01/2012 01:00;2.90
9/01/2012 02:00;3.50
9/01/2012 03:00;5.20
9/01/2012 04:00;2.00
9/01/2012 05:00;1.90
9/01/2012 06:00;2.00
9/01/2012 07:00;3.00
9/01/2012 08:00;5.00
9/01/2012 09:00;7.70
9/01/2012 10:00;13.30
9/01/2012 11:00;18.80
