FECHA;PM2.5
1/04/2014 00:00;S/D
1/04/2014 01:00;S/D
1/04/2014 02:00;S/D
1/04/2014 03:00;S/D
1/04/2014 04:00;S/D
1/04/2014 05:00;S/D
1/04/2014 06:00;S/D
1/04/2014 07:00;S/D
1/04/2014 08:00;S/D
1/04/2014 09:00;S/D
1/04/2014 10:00;S/D
1/04/2014 11:00;S/D
1/04/2014 12:00;S/D
1/04/2014 13:00;S/D
1/04/2014 14:00;S/D
1/04/2014 15:00;S/D
1/04/2014 16:00;S/D
1/04/2014 17:00;S/D
1/04/2014 18:00;S/D
1/04/2014 19:00;S/D
1/04/2014 20:00;S/D
1/04/2014 21:00;S/D
1/04/2014 22:00;S/D
1/04/2014 23:00;S/D
2/04/2014 00:00;S/D
2/04/2014 01:00;S/D
2/04/2014 02:00;S/D
2/04/2014 03:00;S/D
2/04/2014 04:00;S/D
2/04/2014 05:00;S/D
2/04/2014 06:00;S/D
2/04/2014 07:00;S/D
2/04/2014 08:00;S/D
2/04/2014 09:00;S/D
2/04/2014 10:00;S/D
2/04/2014 11:00;S/D
2/04/2014 12:00;S/D
2/04/2014 13:00;S/D
2/04/2014 14:00;S/D
2/04/2014 15:00;S/D
2/04/2014 16:00;S/D
2/04/2014 17:00;S/D
2/04/2014 18:00;S/D
2/04/2014 19:00;S/D
2/04/2014 20:00;S/D
2/04/2014 21:00;S/D
2/04/2014 22:00;S/D
2/04/2014 23:00;S/D
3/04/2014 00:00;S/D
3/04/2014 01:00;S/D
3/04/2014 02:00;S/D
3/04/2014 03:00;S/D
3/04/2014 04:00;S/D
3/04/2014 05:00;S/D
3/04/2014 06:00;S/D
3/04/2014 07:00;S/D
3/04/2014 08:00;S/D
3/04/2014 09:00;S/D
3/04/2014 10:00;S/D
3/04/2014 11:00;S/D
3/04/2014 12:00;S/D
3/04/2014 13:00;S/D
3/04/2014 14:00;S/D
3/04/2014 15:00;S/D
3/04/2014 16:00;S/D
3/04/2014 17:00;S/D
3/04/2014 18:00;S/D
3/04/2014 19:00;S/D
3/04/2014 20:00;S/D
3/04/2014 21:00;S/D
3/04/2014 22:00;S/D
3/04/2014 23:00;S/D
4/04/2014 00:00;S/D
4/04/2014 01:00;S/D
4/04/2014 02:00;S/D
4/04/2014 03:00;S/D
4/04/2014 04:00;S/D
4/04/2014 05:00;S/D
4/04/2014 06:00;S/D
4/04/2014 07:00;S/D
4/04/2014 08:00;S/D
4/04/2014 09:00;S/D
4/04/2014 10:00;S/D
4/04/2014 11:00;S/D
4/04/2014 12:00;S/D
4/04/2014 13:00;S/D
4/04/2014 14:00;S/D
4/04/2014 15:00;S/D
4/04/2014 16:00;S/D
4/04/2014 17:00;S/D
4/04/2014 18:00;S/D
4/04/2014 19:00;S/D
4/04/2014 20:00;S/D
4/04/2014 21:00;S/D
4/04/2014 22:00;S/D
4/04/2014 23:00;S/D
5/04/2014 00:00;S/D
5/04/2014 01:00;S/D
5/04/2014 02:00;S/D
5/04/2014 03:00;S/D
5/04/2014 04:00;S/D
5/04/2014 05:00;S/D
5/04/2014 06:00;S/D
5/04/2014 07:00;S/D
5/04/2014 08:00;S/D
5/04/2014 09:00;S/D
5/04/2014 10:00;S/D
5/04/2014 11:00;S/D
5/04/2014 12:00;S/D
5/04/2014 13:00;S/D
5/04/2014 14:00;S/D
5/04/2014 15:00;S/D
5/04/2014 16:00;S/D
5/04/2014 17:00;S/D
5/04/2014 18:00;S/D
5/04/2014 19:00;S/D
5/04/2014 20:00;S/D
5/04/2014 21:00;S/D
5/04/2014 22:00;S/D
5/04/2014 23:00;S/D
6/04/2014 00:00;S/D
6/04/2014 01:00;S/D
6/04/2014 02:00;S/D
6/04/2014 03:00;S/D
6/04/2014 04:00;S/D
6/04/2014 05:00;S/D
6/04/2014 06:00;S/D
6/04/2014 07:00;S/D
6/04/2014 08:00;S/D
6/04/2014 09:00;S/D
6/04/2014 10:00;S/D
6/04/2014 11:00;S/D
6/04/2014 12:00;S/D
6/04/2014 13:00;S/D
6/04/2014 14:00;S/D
6/04/2014 15:00;S/D
6/04/2014 16:00;S/D
6/04/2014 17:00;S/D
6/04/2014 18:00;S/D
6/04/2014 19:00;S/D
6/04/2014 20:00;S/D
6/04/2014 21:00;S/D
6/04/2014 22:00;S/D
6/04/2014 23:00;S/D
7/04/2014 00:00;S/D
7/04/2014 01:00;S/D
7/04/2014 02:00;S/D
7/04/2014 03:00;S/D
7/04/2014 04:00;S/D
7/04/2014 05:00;S/D
7/04/2014 06:00;S/D
